arrival_date,date_id,year,month,day,quarter
2016-08-08,398,2016,8,8,3
2016-08-09,399,2016,8,9,3
2016-08-10,400,2016,8,10,3
2016-08-11,401,2016,8,11,3
2016-08-12,402,2016,8,12,3
2016-08-13,403,2016,8,13,3
2016-08-14,404,2016,8,14,3
2016-08-15,405,2016,8,15,3
2016-08-16,406,2016,8,16,3
2016-08-17,407,2016,8,17,3
2016-08-18,408,2016,8,18,3
2016-08-19,409,2016,8,19,3
2016-08-20,410,2016,8,20,3
2016-08-21,411,2016,8,21,3
2016-08-22,412,2016,8,22,3
2016-08-23,413,2016,8,23,3
2016-08-24,414,2016,8,24,3
2016-08-25,415,2016,8,25,3
2016-08-26,416,2016,8,26,3
2016-08-27,417,2016,8,27,3
2016-08-28,418,2016,8,28,3
2016-08-29,419,2016,8,29,3
2016-08-30,420,2016,8,30,3
2016-08-31,421,2016,8,31,3
2016-09-01,422,2016,9,1,3
2016-09-02,423,2016,9,2,3
2016-09-03,424,2016,9,3,3
2016-09-04,425,2016,9,4,3
2016-09-05,426,2016,9,5,3
2016-09-06,427,2016,9,6,3
2016-09-07,428,2016,9,7,3
2016-09-08,429,2016,9,8,3
2016-09-09,430,2016,9,9,3
2016-09-10,431,2016,9,10,3
2016-09-11,432,2016,9,11,3
2016-09-12,433,2016,9,12,3
2016-09-13,434,2016,9,13,3
2016-09-14,435,2016,9,14,3
2016-09-15,436,2016,9,15,3
2016-09-16,437,2016,9,16,3
2016-09-17,438,2016,9,17,3
2016-09-18,439,2016,9,18,3
2016-09-19,440,2016,9,19,3
2016-09-20,441,2016,9,20,3
2016-09-21,442,2016,9,21,3
2016-09-22,443,2016,9,22,3
2016-09-23,444,2016,9,23,3
2016-09-24,445,2016,9,24,3
2016-09-25,446,2016,9,25,3
2016-09-26,447,2016,9,26,3
2016-09-27,448,2016,9,27,3
2016-09-28,449,2016,9,28,3
2016-09-29,450,2016,9,29,3
2016-09-30,451,2016,9,30,3
2016-10-01,452,2016,10,1,4
2016-10-02,453,2016,10,2,4
2016-10-03,454,2016,10,3,4
2016-10-04,455,2016,10,4,4
2016-10-05,456,2016,10,5,4
2016-10-06,457,2016,10,6,4
2016-10-07,458,2016,10,7,4
2016-10-08,459,2016,10,8,4
2016-10-09,460,2016,10,9,4
2016-10-10,461,2016,10,10,4
2016-10-11,462,2016,10,11,4
2016-10-12,463,2016,10,12,4
2016-10-13,464,2016,10,13,4
2016-10-14,465,2016,10,14,4
2016-10-15,466,2016,10,15,4
2016-10-16,467,2016,10,16,4
2016-10-17,468,2016,10,17,4
2016-10-18,469,2016,10,18,4
2016-10-19,470,2016,10,19,4
2016-10-20,471,2016,10,20,4
2016-10-21,472,2016,10,21,4
2016-10-22,473,2016,10,22,4
2016-10-23,474,2016,10,23,4
2016-10-24,475,2016,10,24,4
2016-10-25,476,2016,10,25,4
2016-10-26,477,2016,10,26,4
2016-10-27,478,2016,10,27,4
2016-10-28,479,2016,10,28,4
2016-10-29,480,2016,10,29,4
2016-10-30,481,2016,10,30,4
2016-10-31,482,2016,10,31,4
2016-11-01,483,2016,11,1,4
2016-11-02,484,2016,11,2,4
2016-11-03,485,2016,11,3,4
2016-11-04,486,2016,11,4,4
2016-11-05,487,2016,11,5,4
2016-11-06,488,2016,11,6,4
2016-11-07,489,2016,11,7,4
2016-11-08,490,2016,11,8,4
2016-11-09,491,2016,11,9,4
2016-11-10,492,2016,11,10,4
2016-11-11,493,2016,11,11,4
2016-11-12,494,2016,11,12,4
2016-11-14,495,2016,11,14,4
2016-11-15,496,2016,11,15,4
2016-11-16,497,2016,11,16,4
2016-11-17,498,2016,11,17,4
2016-11-18,499,2016,11,18,4
2016-11-19,500,2016,11,19,4
2016-11-20,501,2016,11,20,4
2016-11-21,502,2016,11,21,4
2016-11-22,503,2016,11,22,4
2016-11-23,504,2016,11,23,4
2016-11-24,505,2016,11,24,4
2016-11-25,506,2016,11,25,4
2016-11-26,507,2016,11,26,4
2016-11-27,508,2016,11,27,4
2016-11-28,509,2016,11,28,4
2016-11-29,510,2016,11,29,4
2016-11-30,511,2016,11,30,4
2016-12-01,512,2016,12,1,4
2016-12-02,513,2016,12,2,4
2016-12-03,514,2016,12,3,4
2016-12-04,515,2016,12,4,4
2016-12-05,516,2016,12,5,4
2016-12-06,517,2016,12,6,4
2016-12-07,518,2016,12,7,4
2016-12-08,519,2016,12,8,4
2016-12-09,520,2016,12,9,4
2016-12-10,521,2016,12,10,4
2016-12-11,522,2016,12,11,4
2016-12-12,523,2016,12,12,4
2016-12-13,524,2016,12,13,4
2016-12-14,525,2016,12,14,4
2016-12-15,526,2016,12,15,4
2016-12-16,527,2016,12,16,4
2016-12-17,528,2016,12,17,4
2016-12-18,529,2016,12,18,4
2016-12-19,530,2016,12,19,4
2016-12-20,531,2016,12,20,4
2016-12-21,532,2016,12,21,4
2016-12-22,533,2016,12,22,4
2016-12-23,534,2016,12,23,4
2016-12-24,535,2016,12,24,4
2016-12-25,536,2016,12,25,4
2016-12-26,537,2016,12,26,4
2016-12-27,538,2016,12,27,4
2016-12-28,539,2016,12,28,4
2016-12-29,540,2016,12,29,4
2016-12-30,541,2016,12,30,4
2016-12-31,542,2016,12,31,4
2017-01-01,543,2017,1,1,1
2017-01-02,544,2017,1,2,1
2017-01-03,545,2017,1,3,1
2017-01-04,546,2017,1,4,1
2017-01-05,547,2017,1,5,1
2017-01-06,548,2017,1,6,1
2017-01-07,549,2017,1,7,1
2017-01-08,550,2017,1,8,1
2017-01-09,551,2017,1,9,1
2017-01-10,552,2017,1,10,1
2017-01-11,553,2017,1,11,1
2017-01-12,554,2017,1,12,1
2017-01-13,555,2017,1,13,1
2017-01-14,556,2017,1,14,1
2017-01-15,557,2017,1,15,1
2017-01-16,558,2017,1,16,1
2017-01-17,559,2017,1,17,1
2017-01-18,560,2017,1,18,1
2017-01-19,561,2017,1,19,1
2017-01-20,562,2017,1,20,1
2017-01-21,563,2017,1,21,1
2017-01-22,564,2017,1,22,1
2017-01-23,565,2017,1,23,1
2017-01-24,566,2017,1,24,1
2017-01-25,567,2017,1,25,1
2017-01-26,568,2017,1,26,1
2017-01-27,569,2017,1,27,1
2017-01-28,570,2017,1,28,1
2017-01-29,571,2017,1,29,1
2017-01-30,572,2017,1,30,1
2017-01-31,573,2017,1,31,1
2017-02-01,574,2017,2,1,1
2017-02-02,575,2017,2,2,1
2017-02-03,576,2017,2,3,1
2017-02-04,577,2017,2,4,1
2017-02-05,578,2017,2,5,1
2017-02-06,579,2017,2,6,1
2017-02-07,580,2017,2,7,1
2017-02-08,581,2017,2,8,1
2017-02-09,582,2017,2,9,1
2017-02-10,583,2017,2,10,1
2017-02-11,584,2017,2,11,1
2017-02-12,585,2017,2,12,1
2017-02-13,586,2017,2,13,1
2017-02-14,587,2017,2,14,1
2017-02-15,588,2017,2,15,1
2017-02-16,589,2017,2,16,1
2017-02-17,590,2017,2,17,1
2017-02-18,591,2017,2,18,1
2017-02-19,592,2017,2,19,1
2017-02-20,593,2017,2,20,1
2017-02-21,594,2017,2,21,1
2017-02-22,595,2017,2,22,1
2017-02-23,596,2017,2,23,1
2017-02-24,597,2017,2,24,1
2017-02-25,598,2017,2,25,1
2017-02-26,599,2017,2,26,1
2017-02-27,600,2017,2,27,1
2017-02-28,601,2017,2,28,1
2017-03-01,602,2017,3,1,1
2017-03-02,603,2017,3,2,1
2017-03-03,604,2017,3,3,1
2017-03-04,605,2017,3,4,1
2017-03-05,606,2017,3,5,1
2017-03-06,607,2017,3,6,1
2017-03-07,608,2017,3,7,1
2017-03-08,609,2017,3,8,1
2017-03-09,610,2017,3,9,1
2017-03-10,611,2017,3,10,1
2017-03-11,612,2017,3,11,1
2017-03-12,613,2017,3,12,1
2017-03-13,614,2017,3,13,1
2017-03-14,615,2017,3,14,1
2017-03-15,616,2017,3,15,1
2017-03-16,617,2017,3,16,1
2017-03-17,618,2017,3,17,1
2017-03-18,619,2017,3,18,1
2017-03-19,620,2017,3,19,1
2017-03-20,621,2017,3,20,1
2017-03-22,622,2017,3,22,1
2017-03-23,623,2017,3,23,1
2017-03-24,624,2017,3,24,1
2017-03-25,625,2017,3,25,1
2017-03-26,626,2017,3,26,1
2017-03-27,627,2017,3,27,1
2017-03-28,628,2017,3,28,1
2017-03-29,629,2017,3,29,1
2017-03-30,630,2017,3,30,1
2017-03-31,631,2017,3,31,1
2017-04-01,632,2017,4,1,2
2017-04-02,633,2017,4,2,2
2017-04-03,634,2017,4,3,2
2017-04-04,635,2017,4,4,2
2017-04-05,636,2017,4,5,2
2017-04-06,637,2017,4,6,2
2017-04-07,638,2017,4,7,2
2017-04-08,639,2017,4,8,2
2017-04-09,640,2017,4,9,2
2017-04-10,641,2017,4,10,2
2017-04-11,642,2017,4,11,2
2017-04-12,643,2017,4,12,2
2017-04-13,644,2017,4,13,2
2017-04-14,645,2017,4,14,2
2017-04-15,646,2017,4,15,2
2017-04-16,647,2017,4,16,2
2017-04-17,648,2017,4,17,2
2017-04-18,649,2017,4,18,2
2017-04-19,650,2017,4,19,2
2017-04-20,651,2017,4,20,2
2017-04-21,652,2017,4,21,2
2017-04-22,653,2017,4,22,2
2017-04-23,654,2017,4,23,2
2017-04-24,655,2017,4,24,2
2017-04-25,656,2017,4,25,2
2017-04-26,657,2017,4,26,2
2017-04-27,658,2017,4,27,2
2017-04-28,659,2017,4,28,2
2017-04-29,660,2017,4,29,2
2017-04-30,661,2017,4,30,2
2017-05-01,662,2017,5,1,2
2017-05-02,663,2017,5,2,2
2017-05-03,664,2017,5,3,2
2017-05-04,665,2017,5,4,2
2017-05-05,666,2017,5,5,2
2017-05-06,667,2017,5,6,2
2017-05-07,668,2017,5,7,2
2017-05-08,669,2017,5,8,2
2017-05-09,670,2017,5,9,2
2017-05-10,671,2017,5,10,2
2017-05-11,672,2017,5,11,2
2017-05-12,673,2017,5,12,2
2017-05-13,674,2017,5,13,2
2017-05-14,675,2017,5,14,2
2017-05-15,676,2017,5,15,2
2017-05-16,677,2017,5,16,2
2017-05-17,678,2017,5,17,2
2017-05-18,679,2017,5,18,2
2017-05-19,680,2017,5,19,2
2017-05-20,681,2017,5,20,2
2017-05-21,682,2017,5,21,2
2017-05-22,683,2017,5,22,2
2017-05-23,684,2017,5,23,2
2017-05-24,685,2017,5,24,2
2017-05-25,686,2017,5,25,2
2017-05-26,687,2017,5,26,2
2017-05-27,688,2017,5,27,2
2017-05-28,689,2017,5,28,2
2017-05-29,690,2017,5,29,2
2017-05-30,691,2017,5,30,2
2017-05-31,692,2017,5,31,2
2017-06-01,693,2017,6,1,2
2017-06-02,694,2017,6,2,2
2017-06-03,695,2017,6,3,2
2017-06-04,696,2017,6,4,2
2017-06-05,697,2017,6,5,2
2017-06-06,698,2017,6,6,2
2017-06-07,699,2017,6,7,2
2017-06-08,700,2017,6,8,2
2017-06-09,701,2017,6,9,2
2017-06-10,702,2017,6,10,2
2017-06-11,703,2017,6,11,2
2017-06-12,704,2017,6,12,2
2017-06-13,705,2017,6,13,2
2017-06-14,706,2017,6,14,2
2017-06-15,707,2017,6,15,2
2017-06-16,708,2017,6,16,2
2017-06-17,709,2017,6,17,2
2017-06-18,710,2017,6,18,2
2017-06-19,711,2017,6,19,2
2017-06-20,712,2017,6,20,2
2017-06-21,713,2017,6,21,2
2017-06-22,714,2017,6,22,2
2017-06-23,715,2017,6,23,2
2017-06-24,716,2017,6,24,2
2017-06-25,717,2017,6,25,2
2017-06-26,718,2017,6,26,2
2017-06-27,719,2017,6,27,2
2017-06-28,720,2017,6,28,2
2017-06-29,721,2017,6,29,2
2017-06-30,722,2017,6,30,2
2017-07-01,723,2017,7,1,3
2017-07-02,724,2017,7,2,3
2017-07-03,725,2017,7,3,3
2017-07-04,726,2017,7,4,3
2017-07-05,727,2017,7,5,3
2017-07-06,728,2017,7,6,3
2017-07-07,729,2017,7,7,3
2017-07-08,730,2017,7,8,3
2017-07-09,731,2017,7,9,3
2017-07-10,732,2017,7,10,3
2017-07-11,733,2017,7,11,3
2017-07-12,734,2017,7,12,3
2017-07-13,735,2017,7,13,3
2017-07-14,736,2017,7,14,3
2017-07-15,737,2017,7,15,3
2017-07-16,738,2017,7,16,3
2017-07-17,739,2017,7,17,3
2017-07-18,740,2017,7,18,3
2017-07-19,741,2017,7,19,3
2017-07-20,742,2017,7,20,3
2017-07-21,743,2017,7,21,3
2017-07-22,744,2017,7,22,3
2017-07-23,745,2017,7,23,3
2017-07-24,746,2017,7,24,3
2017-07-25,747,2017,7,25,3
2017-07-26,748,2017,7,26,3
2017-07-27,749,2017,7,27,3
2017-07-28,750,2017,7,28,3
2017-07-29,751,2017,7,29,3
2017-07-30,752,2017,7,30,3
2017-07-31,753,2017,7,31,3
2017-08-01,754,2017,8,1,3
2017-08-02,755,2017,8,2,3
2017-08-03,756,2017,8,3,3
2017-08-04,757,2017,8,4,3
2017-08-05,758,2017,8,5,3
2017-08-06,759,2017,8,6,3
2017-08-07,760,2017,8,7,3
2017-08-08,761,2017,8,8,3
2017-08-09,762,2017,8,9,3
2017-08-10,763,2017,8,10,3
2017-08-11,764,2017,8,11,3
2017-08-12,765,2017,8,12,3
2017-08-13,766,2017,8,13,3
2017-08-14,767,2017,8,14,3
2017-08-15,768,2017,8,15,3
2017-08-16,769,2017,8,16,3
2017-08-17,770,2017,8,17,3
2017-08-18,771,2017,8,18,3
2017-08-19,772,2017,8,19,3
2017-08-20,773,2017,8,20,3
2017-08-21,774,2017,8,21,3
2017-08-22,775,2017,8,22,3
2017-08-23,776,2017,8,23,3
2017-08-24,777,2017,8,24,3
2017-08-25,778,2017,8,25,3
2017-08-26,779,2017,8,26,3
2017-08-27,780,2017,8,27,3
2017-08-28,781,2017,8,28,3
2017-08-29,782,2017,8,29,3
2017-08-30,783,2017,8,30,3
2017-08-31,784,2017,8,31,3
2016-01-20,785,2016,1,20,1
2015-12-09,786,2015,12,9,4
2017-03-21,787,2017,3,21,1
2016-01-11,788,2016,1,11,1
2015-12-16,789,2015,12,16,4
2015-11-22,790,2015,11,22,4
2016-01-24,791,2016,1,24,1
2016-03-06,792,2016,3,6,1
2016-11-13,793,2016,11,13,4
